许可证号,采矿权人,矿山名称,项目类型,开采主矿种,开采方式,设计生产规模,面积_km2,有效期,发证机关,公告日期,省份
DC5328232026047100000001,勐腊县辉洪商贸有限责任公司,勐腊县辉洪商贸有限责任公司勐捧镇团结建筑石料用灰岩矿,首次登记,建筑石料用灰岩,,,0.73310,2026.04.22至2041.04.21,勐腊县自然资源局,2026.04.22,云南
DC1529002020037150149498,腾格里经济技术开发区晟鼎石料开采有限公司,内蒙古自治区腾格里经济技术开发区嘉尔嘎勒赛汉镇巴兴图建筑石料用灰岩矿,变更登记,建筑石料用灰岩,,,0.50650,2026.03.13至2028.03.13,阿拉善左旗自然资源局,2026.04.22,内蒙古
DC5002312013067130130208,重庆国瑞矿业有限公司,垫江县永安镇十口子村建筑石料用砂岩,变更登记,建筑用砂岩,,,0.06840,2026.01.22至2030.02.28,重庆市垫江县规划和自然资源局,2026.04.22,重庆
DC6530012021017100151302,克州源顺进建材有限公司,新疆阿图什市格达良乡聚集区五号建筑用砂矿,变更登记,建筑用砂,,,1.47010,2026.01.08至2029.01.08,阿图什市自然资源局,2026.04.23,新疆
DC3415232014057130134002,舒城县华成采石有限公司,舒城县华成采石有限公司,变更登记,建筑用安山岩,,,0.10420,2026.05.09至2029.05.08,六安市,2026.04.24,安徽
DC1308002015027130137352,承德壹彤矿业有限责任公司,承德壹彤矿业有限责任公司前营玻璃用石英岩矿,换证,玻璃用石英岩,,,0.56380,2025.02.10至2035.02.10,承德市,2026.04.27,河北
DC6104272017027130143903,彬州李前建材有限公司,彬州李前建材有限公司,变更登记,砖瓦用粘土,,,0.03650,2026.04.27至2029.04.27,彬州市自然资源局,2026.04.27,陕西
DC5000002011041110111289,重庆东方宾馆有限公司,重庆东方宾馆有限公司花溪街道新东方地热,换证,地热,,,1.44910,2022.07.01至2032.06.30,重庆市巴南区,2026.04.28,重庆
DC2105002010017120053447,本溪满族自治县鑫强矿业有限公司,本溪满族自治县鑫强矿业有限公司石灰岩矿,变更登记,熔剂用石灰岩,,,1.83110,2016.12.19至2036.04.29,本溪市,2026.04.29,辽宁
DC5326212010047120061612,文山市永能建材经营有限责任公司,文山市永能建材经营有限责任公司德厚乐龙石灰岩矿,变更登记,建筑石料用灰岩,,,0.04810,2026.03.25至2029.03.25,文山市自然资源局,2026.03.30,云南
DC2306002026031120000016,林甸县九州温泉地热开发有限责任公司,黑龙江省林甸县林热51井,首次登记,地热,,,0.99980,2026.03.10至2031.03.10,大庆市,2026.03.09,黑龙江
DC3609222021067100152146,万载万狮矿业有限公司,万载县石狮砖瓦用页岩矿,换证,砖瓦用页岩,,,0.20530,2021.06.22至2039.06.22,江西省宜春市万载县,2026.03.18,江西
DC3504262010117110083413,福建奥翔矿业发展有限公司,福建奥翔矿业发展有限公司上园白云岩矿,"变更登记,转移登记",建筑用白云岩,,,0.61030,2025.01.21至2034.01.21,尤溪县自然资源局,2026.03.30,福建
DC2306002026031120000014,林甸县九州温泉地热开发有限责任公司,黑龙江省林甸县林热45井,首次登记,地热,,,1.43980,2026.03.10至2031.03.10,大庆市,2026.03.09,黑龙江
DC6104252018047130146090,礼泉联合新型建材有限公司,礼泉县石潭镇铁罗村砖瓦用粘土矿,变更登记,砖瓦用粘土,,,0.15230,2026.04.11至2028.12.31,礼泉县自然资源局,2026.04.03,陕西
DC6532002010087130074466,策勒县禾森矿业有限责任公司,新疆策勒县都木玉石矿,变更登记,玉石,,,0.81730,2025.12.23至2031.07.22,和田地区自然资源局,2026.04.13,新疆
DC6523282026047200000005,木垒县宇恒建筑材料有限公司,木垒县芨芨湖建筑用砂矿,首次登记,建筑用砂,,,0.71430,2026.01.10至2027.01.10,木垒哈萨克自治县自然资源局,2026.04.09,新疆
DC3611272021047100151855,江西中利诚建材有限公司,余干县千家畈砖瓦用页岩矿,转移登记,砖瓦用页岩,,,0.15500,2021.04.22至2030.08.21,余干县自然资源局,2026.03.16,江西
DC5202032008107130096978,六枝特区野狼冲砂石厂,六枝特区野狼冲砂石厂,变更登记,建筑石料用灰岩,,,0.05950,2026.01.19至2036.01.18,六盘水市自然资源局,2026.04.02,贵州
DC6531292026037100000003,伽师县源江建材有限公司,伽师县源江建材有限公司新疆伽师县玉代克力克乡5号建筑用砂矿-1,首次登记,建筑用砂,,,0.20290,2026.03.01至2029.06.06,伽师县自然资源局,2026.03.25,新疆
DC3308252021037160151601,浙江浙交矿业运营管理有限公司,龙游县横山镇志棠普通建筑石料矿区矿地综合开发利用项目,变更登记,建筑石料用灰岩,,,0.23820,2026.03.17至2029.03.17,县资规局,2026.03.04,浙江
DC5202222011127130121490,六盘水兴黔工贸有限公司,六盘水兴黔工贸有限公司石灰岩矿,变更登记,石灰岩,,,0.02190,2026.03.04至2031.03.03,六盘水市自然资源局,2026.03.26,贵州
DC5202212009097130054625,水城县顺和利砂石厂,水城县顺和利砂石厂,变更登记,建筑石料用灰岩,,,0.03220,2026.01.31至2036.01.30,六盘水市自然资源局,2026.04.02,贵州
DC3713292026047100000008,临沂石宝矿业有限公司,临沂石宝矿业有限公司临沭县玉山村西矿区建筑用闪长岩矿,首次登记,建筑用闪长岩,,,0.17940,2026.04.03至2031.04.03,临沭县自然资源和规划局,2026.04.07,山东
DC5114212010117120083663,仁寿晟盛矿石有限责任公司,仁寿晟盛矿石有限责任公司保林村建筑石料用石灰岩,换证,建筑石料用灰岩,,,0.39850,2019.08.20至2030.05.20,四川省眉山市,2026.04.13,四川
DC5115002026037150000003,四川省兴文县鼎顺石业有限责任公司,四川省兴文县鼎顺石业有限责任公司四川省兴文县草山头建筑石料用灰岩,首次登记,建筑石料用灰岩,,,0.42380,2026.03.27至2050.03.27,宜宾市自然资源和规划局,2026.03.27,四川
DC2306002026031120000012,林甸县九州温泉地热开发有限责任公司,黑龙江省林甸县林热38井,首次登记,地热,,,0.99980,2026.03.10至2031.03.10,大庆市,2026.03.09,黑龙江
DC3703022009097130044357,淄博洪泉石料厂,淄博洪泉石料厂,变更登记,建筑石料用灰岩,,,1.06810,2026.01.25至2029.01.24,淄川区自然资源局,2026.04.03,山东
DC1529002020047150149621,阿拉善盟鼎盛鸿通生态治理建设工程,内蒙古自治区阿拉善左旗嘉尔嘎勒赛汉镇乌兰呼都格嘎查建筑用砂矿,变更登记,建筑用砂,,,0.30280,2026.04.01至2029.03.31,阿拉善左旗自然资源局,2026.03.24,内蒙古
DC3713292026047100000005,临沭县兴大矿业有限公司,临沭县兴大矿业有限公司临沭县大兴镇兴大建筑用安山岩矿,注销登记,建筑用安山岩,,,0.12520,2023.02.17至2027.08.17,临沭县自然资源和规划局,2026.04.01,山东
DC5226002026037260000001,锦屏县诚泰产业发展有限公司,贵州省锦屏县河口乡青山界饰面用板岩矿北西段采矿权,首次登记,饰面用板岩,,,0.27880,2026.03.09至2056.03.08,黔东南州自然资源局,2026.03.11,贵州
DC3708312026028160000001,山东盼盼食品有限公司,山东盼盼食品有限公司山东省泗水县尖山村矿泉水,首次登记,矿泉水,,,1.78900,2026.02.27至2036.02.27,济宁市自然资源和规划局,2026.03.04,山东
DC5202222012017130122376,盘州市刘官大皮坡砂石贸易有限公司,盘县刘官大皮坡砂石贸易有限公司石灰石矿,变更登记,石灰岩,,,0.07100,2026.02.06至2031.02.05,六盘水市自然资源局,2026.03.26,贵州
DC5202212011047130113231,水城县金翔砂石厂,水城县金翔砂石厂,变更登记,建筑石料用灰岩,,,0.03590,2025.12.30至2035.12.30,六盘水市自然资源局,2026.04.02,贵州
DC6532002024067150157029,和田泰坤矿业投资有限公司,和田地区1号玉石（籽料）矿,变更登记,玉石,,,2.23260,2024.06.27至2026.12.27,和田地区自然资源局,2026.04.13,新疆
DC5202222011087130116310,盘州市宏顺达砂石贸易有限公司,盘州市宏顺达砂石贸易有限公司石灰岩矿,变更登记,石灰岩,,,0.05410,2026.02.06至2036.02.05,六盘水市自然资源局,2026.04.16,贵州
DC1507002015047130137944,满洲里市扎区兴平采石场,满洲里市扎赉诺尔区四号建筑石料矿,变更登记,建筑用石料(凝灰岩),,,0.01900,2026.04.17至2027.04.16,扎赉诺尔区自然资源局,2026.04.17,内蒙古
DC6204002011127120121083,景泰县红泉石膏矿,景泰县红泉石膏矿,变更登记,石膏,,,0.63180,2022.04.23至2028.01.12,白银市自然资源局,2026.04.21,甘肃
DC3704052020047120149744,枣庄交通发展集团翠屏山矿业有限公司,台儿庄区磨盘山-翠屏山矿区建筑石料用灰岩矿,变更登记,建筑石料用灰岩,,,0.36570,2026.04.30至2029.04.30,枣庄市台儿庄区自然资源局,2026.04.22,山东
DC6108242010127120092312,靖边县宏达砖厂,靖边县宏达机砖厂砖瓦用粘土矿,变更登记,砖瓦用粘土,,,0.09200,2021.01.13至2027.12.20,靖边县自然资源和规划局,2026.04.20,陕西
DC3200002020051110149924,阜宁县金沙湖开发投资有限公司,阜宁县金沙湖开发投资有限公司地热井,变更登记,地热,,,0.16000,2025.05.23至2035.05.22,江苏省自然资源厅,2026.04.23,江苏
DC5328232019127100149039,西双版纳修诚商贸有限责任公司,勐腊县关累镇青岩寨采石场,变更登记,建筑石料用灰岩,,,0.07490,2026.04.24至2027.12.30,勐腊县自然资源局,2026.04.24,云南
DC6108242010117120080299,榆林建能新型材料有限公司,靖边县胜利机砖厂砖瓦用粘土矿,转移登记,砖瓦用粘土,,,0.04320,2021.01.01至2027.12.20,靖边县自然资源和规划局,2026.04.24,陕西
DC6110012009117120054018,商洛喜达实业有限公司,商 洛 市 商 州 区 杨 峪 河 镇 党 沟 平 安 石 场,变更登记,建筑用花岗岩,,,0.58480,2026.02.12至2029.02.12,商洛市自然资源局商州分局,2026.04.27,陕西
DC6523022026047100000004,阜康市柏杨河砂石料厂,阜康市上户沟乡白杨河砂石料厂,首次登记,建筑用砂,,,0.07460,2025.07.04至2026.05.07,阜康市自然资源局,2026.04.28,新疆
DC1308002010127120086940,隆化兴泰矿业有限公司,隆化兴泰矿业有限公司北铺子村膨润土矿,变更登记,膨润土,,,0.45650,2021.04.01至2026.04.01,承德市自然资源和规划局,2026.04.28,河北
DC5328012026047100000001,景洪市基龙矿业有限责任公司,景洪市基诺山亚龙建筑石料用灰岩矿,首次登记,建筑石料用灰岩,,,0.28490,2026.04.29至2040.04.29,景洪市自然资源局,2026.04.29,云南
DC3610022022077100153842,抚州东临新区共昇新型建材有限公司,东临新区沙溪黄家砖瓦用泥质粉砂岩矿,变更登记,砖瓦用砂岩,,,0.30790,2022.07.05至2035.10.05,抚州市自然资源局临川分局,2026.04.29,江西
DC1529002016057130141932,阿拉善盟蒙雪矿业有限责任公司,阿拉善左旗巴润别立镇巴音朝格图地区建筑石料用石灰岩矿,变更登记,建筑石料用灰岩,,,0.09240,2026.05.11至2028.05.10,阿拉善左旗自然资源局,2026.04.29,内蒙古
DC1507002026043200000001,额尔古纳市鑫易矿业开发有限公司,额尔古纳市鑫易矿业开发有限公司额尔古纳市黑山头地区铅银矿,首次登记,铅矿,,,3.25840,2026.04.29至2033.04.28,呼伦贝尔市自然资源局,2026.04.29,内蒙古
DC4690072026041200000002,东方建都国际酒店管理有限公司,东方建都国际酒店管理有限公司开发项目（东方希尔顿欢朋酒店）地热水,首次登记,地热,,,0.00090,2026.04.23至2031.04.22,自然资源部信息中心,2026.04.30,海南
DC1507002015077130139024,满洲里市宏大采石场,满洲里市扎区宏大采石场,变更登记,建筑用花岗岩,,,0.06310,2026.04.17至2027.04.16,扎赉诺尔区自然资源局,2026.04.30,内蒙古
DC6529262023027100154783,拜城恒通建材有限公司,拜城县金晖西砂石料集中开采区3号矿区建筑用砂矿,变更登记,建筑用砂,,,0.18000,2026.02.25至2028.04.25,拜城县自然资源局,2026.05.06,新疆
DC6104242026057100000001,乾县新阳鑫诺建材有限公司,乾县新阳镇沟阳村砖瓦用粘土矿,首次登记,砖瓦用粘土,,,0.05080,2026.03.23至2029.03.23,乾县自然资源局,2026.05.06,陕西
DC2113002021041110151727,朝阳金华园旅游观光示范园管理有限公司,朝阳金华园旅游观光示范园管理有限公司,变更登记,地热,,,0.23690,2026.04.06至2036.04.05,朝阳市,2026.05.06,辽宁
DC6502002010047120061025,克拉玛依市城投碎石开采有限责任公司,克拉玛依市城投碎石开采有限责任公司,变更登记,建筑用石料(凝灰岩),,,0.42890,2026.01.19至2026.11.18,克拉玛依市自然资源局,2026.05.06,新疆
DC5202222012057130125173,盘州市保基宏兴三合砂石有限公司,盘县保基宏兴三合砂石有限公司保基石灰石矿,变更登记,石灰岩,,,0.07560,2025.06.16至2035.06.15,六盘水市自然资源局,2026.04.16,贵州
DC1308002010127120086896,承德永和水泥有限责任公司,承德永和水泥有限责任公司石洞子沟灰岩矿,变更登记,水泥用石灰岩,,,0.62480,2020.01.13至2025.01.13,承德市自然资源和规划局,2026.04.15,河北
DC5117232010117130084183,开江县鸿繁鑫矿业有限公司,开江县鸿繁鑫矿业有限公司回龙镇寒树湾石灰岩矿,变更登记,建筑石料用灰岩,,,0.06580,2021.12.13至2030.05.16,达州市自然资源和规划局,2026.03.23,四川
DC5325322026037100000001,河口坝洒农场有限责任公司,河口坝洒农场有限责任公司河口县河口镇坝洒农场南屏二队建筑石料用灰岩矿,首次登记,建筑石料用灰岩,,,0.15030,2026.03.16至2031.03.15,河口瑶族自治县自然资源局,2026.03.18,云南
DC5113042010117120080300,南充市嘉陵区羊口乡盛发机砖厂,南充市嘉陵区羊口乡盛发机砖厂,变更登记,砖瓦用页岩,,,0.01940,2025.01.28至2027.01.27,南充市嘉陵区自然资源和规划局,2026.04.21,四川
DC6532002026047100000019,洛浦天山水泥有限责任公司,新疆洛浦县阿其克矿区水泥配料用 1 号板岩矿,首次登记,板岩,,,0.09270,2026.04.11至2038.11.10,和田地区自然资源局,2026.04.22,新疆
DC5307212026047100000001,丽江孜堆砂石料有限公司,云南省玉龙县奉科镇燕子岩砂石料场建筑石料用灰岩矿,首次登记,建筑石料用灰岩,,,0.10120,2026.04.23至2032.04.25,玉龙纳西族自治县自然资源局,2026.04.23,云南
DC5002302026047140000002,丰都县绿圣鑫石材有限公司,丰都县武平镇蜂子山村李家湾砂岩矿,首次登记,砂岩,,,0.10470,2026.03.23至2037.10.27,重庆市丰都县规划和自然资源局,2026.04.24,重庆
DC6527012026047100000001,博乐市同人矿业有限责任公司,新疆博乐市赛里木湖2号建筑用砂石料矿,首次登记,建筑用砂,,,0.10680,2025.12.01至2028.10.10,博乐市自然资源局,2026.04.24,新疆
DC6110002008127120038255,陕西商山新材料科技有限公司,陕西商山新材料科技有限公司大赵峪石灰石矿,变更登记,制灰用石灰岩,,,0.43010,2026.03.13至2028.03.13,商洛市自然资源局商州分局,2026.04.27,陕西
DC4302002026047260000002,葛洲坝（攸县）矿业开发有限公司,湖南省攸县广寒坪矿区建筑石料用灰岩矿,首次登记,建筑石料用灰岩,,,0.11660,2026.04.27至2030.04.28,株洲市,2026.04.28,湖南
DC3305212024047150156675,德清锦沣企业管理有限公司,浙江省德清县下渚湖街道八字桥村沈曹矿区建筑用石料（凝灰岩）矿,变更登记,建筑用石料(凝灰岩),,,1.18260,2026.04.30至2038.01.30,德清县自然资源和规划局（德清县林业局）,2026.04.28,浙江
DC3303292026037260000001,泰顺县和昌石材有限公司,浙江省泰顺县百丈镇朱垟村凝灰岩矿,首次登记,凝灰岩,,,0.12130,2026.03.18至2031.03.18,县自然资源和规划局,2026.03.19,浙江
DC5202032015127130140863,六枝特区合顺砂石厂,六枝特区合顺砂石厂,变更登记,建筑石料用灰岩,,,0.01710,2025.12.22至2035.12.21,六盘水市自然资源局,2026.04.16,贵州
DC6523282026047100000006,新疆恒河沙商贸有限公司,新疆恒河沙商贸有限公司木垒县白杨河3号建筑用砂矿,首次登记,建筑用砂,,,0.16610,2026.03.06至2030.05.11,木垒哈萨克自治县自然资源局,2026.04.21,新疆
DC3715002026041160000030,山东昌华机械科技有限公司,山东省聊城市东昌府区DCRC-4井地热,首次登记,地热,,,0.92000,2026.04.02至2027.05.24,聊城市自然资源和规划局,2026.04.20,山东
DC6532002026047200000020,洛浦天山水泥有限责任公司,新疆洛浦县阿其克矿区水泥用2号砂岩矿、石灰岩矿,首次登记,砂岩,,,0.91400,2026.04.11至2034.12.10,和田地区自然资源局,2026.04.22,新疆
DC6210022026047200000001,庆阳高家山建材有限公司,庆阳市西峰区后官寨镇沟畎村砖瓦用粘土矿,首次登记,砖瓦用粘土,,,0.03810,2026.04.22至2031.03.17,西峰区自然资源局,2026.04.22,甘肃
DC1500002016018110141201,鄂伦春自治旗森峰经贸有限责任公司,内蒙古自治区鄂伦春自治旗阿里河镇北饮用天然矿泉水,变更登记,矿泉水,,,0.82820,2026.01.27至2036.01.26,呼伦贝尔市自然资源局,2026.04.24,内蒙古
DC6205212023047100154937,天水三义混凝土有限公司,清水县永清镇李家沟建筑用玄武岩矿,变更登记,建筑用玄武岩,,,0.07470,2026.04.24至2026.04.24,清水县自然资源局,2026.04.24,甘肃
DC1529002014047130133814,阿拉善盟嘉利达商贸有限责任公司,阿拉善左旗腾格里苏木闫地拉图建筑石料矿,变更登记,建筑用砂岩,,,0.17950,2026.04.22至2029.04.21,阿拉善左旗自然资源局,2026.04.27,内蒙古
DC6528242021047100152175,若羌德顺轻型建筑材料有限公司,若羌德顺轻型建筑材料有限公司新疆若羌县依吞布拉克4号建筑用砂矿,变更登记,建筑用砂,,,0.28380,2026.04.01至2030.09.01,若羌县自然资源局,2026.04.27,新疆
DC5307022023057160155065,云南交投丽江资源开发有限公司,古城区文化街道红水塘1号砂石矿山,变更登记,建筑石料用灰岩,,,0.14260,2026.05.05至2029.05.04,古城区自然资源局,2026.04.28,云南
DC5328012026047100000002,景洪市秀福建材有限公司,景洪市勐罕秀福建筑石料用灰岩矿,首次登记,建筑石料用灰岩,,,0.49920,2026.04.29至2041.04.29,景洪市自然资源局,2026.04.29,云南
DC2105002010127120093903,本溪满族自治县福鹏兴矿业有限公司,本溪满族自治县福鹏兴矿业有限公司泉水九洞沟石灰石矿,转移登记,制灰用石灰岩,,,0.18540,2012.12.23至2036.07.18,本溪市,2026.03.23,辽宁
DC1506002012057130127883,鄂托克旗恒泰矿业有限公司,鄂托克旗恒泰矿业有限公司福富石灰石矿,变更登记,建筑石料用灰岩,,,0.04780,2026.03.19至2027.03.18,鄂托克旗自然资源局,2026.04.08,内蒙古
DC3200002015111110140563,宜兴阳羡湖君来酒店有限公司,宜兴阳羡湖君来酒店有限公司地热井,变更登记,地热,,,0.16000,2025.11.24至2035.11.23,江苏省自然资源厅,2026.04.08,江苏
DC6108242010127120092336,陕西省瀚涌石英砂有限公司,靖边县东坑镇金鸡沙治全砂厂建筑用砂矿,变更登记,建筑用砂,,,0.12680,2026.03.27至2029.03.27,靖边县自然资源和规划局,2026.04.07,陕西
